Time for:
size	Best		Worst		Average 
383		0.342		0.277		0.534
621		0.802		0.808		1.618
985		2.031		2.178		4.343
265		0.185		0.188		0.282
949		1.931		1.967		2.688
259		0.144		0.127		0.143
229		0.109		0.09		0.116
990		1.852		1.598		2.747
297		0.186		0.127		0.208
146		0.048		0.05		0.093
70		0.012		0.012		0.022
969		1.307		1.279		3.158
667		0.948		0.934		1.562
888		1.626		1.592		3.01
743		1.328		1.21		1.222
255		0.109		0.141		0.145
551		0.543		0.519		0.686
598		0.545		0.475		0.77
64		0.011		0.011		0.019
458		0.349		0.371		0.601

